,host,method,t_number,resolution,subunits,NSC,sasa,radius_inner,radius_ave,radius_outer,diameter_inner,diametr_ave,diameter_outer,pdb,uniprot_id
22,,X-RAY DIFFRACTION,3,3.2,180,-1020 e- per virion,"45,128.1 Å² × 60",119Å,206Å,208Å,238Å,412Å,416Å,2gh8,P36285
23,Bacteria,X-RAY DIFFRACTION,pT21,7.0,660,,"113,061.7 Å² × 60",184Å,304Å,386Å,368Å,608Å,772Å,2w0c,
24,Animal,ELECTRON MICROSCOPY,1,2.9,60,+60 e- per virion,"4,656.3 Å² × 60",63Å,99Å,102Å,126Å,198Å,204Å,3jci,B8Y5Y9
25,Bats,ELECTRON MICROSCOPY,1,2.39,60,+360 e- per virion,"6,421.3 Å² × 60",52Å,102Å,103Å,104Å,204Å,206Å,6rpo,6RPO
26,Animal,X-RAY DIFFRACTION,1,2.55,60,+60 e- per virion,"4,831.7 Å² × 60",66Å,102Å,102Å,132Å,204Å,204Å,5j36,
27,Animal,X-RAY DIFFRACTION,1,2.3,60,+60 e- per virion,"4,824.8 Å² × 60",66Å,102Å,102Å,132Å,204Å,204Å,5j37,
28,Animal,X-RAY DIFFRACTION,1,2.8,60,,"4,371.2 Å² × 60",63Å,98Å,102Å,126Å,196Å,204Å,5zju,
29,Bats,ELECTRON MICROSCOPY,1,3.85,60,-180 e- per virion,"6,130.5 Å² × 60",66Å,104Å,107Å,132Å,208Å,214Å,6rpl,A0A3G6IPQ0
30,Pigs,ELECTRON MICROSCOPY,1,7.2,60,-300 e- per virion,"23,434.2 Å² × 60",64Å,167Å,169Å,128Å,334Å,338Å,6l62,F5A4Z4
31,Pigs,ELECTRON MICROSCOPY,1,6.7,60,+60 e- per virion,"1,898.8 Å² × 60",31Å,63Å,68Å,62Å,126Å,136Å,6lm3,F5A4Z4
32,Bats,ELECTRON MICROSCOPY,1,2.84,60,+120 e- per virion,"6,385.0 Å² × 60",50Å,100Å,102Å,100Å,200Å,204Å,6rpk,A0A3G6IPQ0
33,Pigs,ELECTRON MICROSCOPY,1,3.3,60,+120 e- per virion,"5,202.4 Å² × 60",62Å,101Å,104Å,124Å,202Å,208Å,6ola,
34,Animal,X-RAY DIFFRACTION,1,3.3,60,-120 e- per virion,"4,709.2 Å² × 60",63Å,99Å,103Å,126Å,198Å,206Å,6dzu,
35,Animal,X-RAY DIFFRACTION,1,2.8,60,+60 e- per virion,"4,830.7 Å² × 60",63Å,100Å,103Å,126Å,200Å,206Å,6e2r,
36,Animal,X-RAY DIFFRACTION,1,3.5,60,-60 e- per virion,"4,918.7 Å² × 60",65Å,101Å,104Å,130Å,202Å,208Å,6e2x,
37,Animal,X-RAY DIFFRACTION,1,3.5,60,-60 e- per virion,"4,950.6 Å² × 60",65Å,101Å,104Å,130Å,202Å,208Å,6e30,
38,Animal,X-RAY DIFFRACTION,1,3.4,60,-60 e- per virion,"4,896.4 Å² × 60",65Å,101Å,104Å,130Å,202Å,208Å,6e32,
39,Animal,ELECTRON MICROSCOPY,1,3.6,60,-60 e- per virion,"4,918.4 Å² × 60",65Å,101Å,104Å,130Å,202Å,208Å,6e34,
40,Animal,X-RAY DIFFRACTION,1,3.5,60,-60 e- per virion,"4,939.3 Å² × 60",65Å,101Å,105Å,130Å,202Å,210Å,6e39,
41,Animal,X-RAY DIFFRACTION,1,3.4,60,-60 e- per virion,"4,818.8 Å² × 60",65Å,101Å,104Å,130Å,202Å,208Å,6e2z,
42,Animal,X-RAY DIFFRACTION,1,2.35,60,+60 e- per virion,"4,541.7 Å² × 60",63Å,99Å,102Å,126Å,198Å,204Å,3r0r,Q805N7
43,Bacteria,ELECTRON MICROSCOPY,13,3.5,780,-660 e- per virion,"112,786.3 Å² × 60",204Å,289Å,290Å,408Å,578Å,580Å,6hy0,P11126
44,Bacteria,ELECTRON MICROSCOPY,2,4.4,120,,"49,468.4 Å² × 60",94Å,226Å,228Å,188Å,452Å,456Å,4btg,P11126
45,Bacteria,ELECTRON MICROSCOPY,13,7.5,780,-120 e- per virion,"57,673.5 Å² × 60",211Å,252Å,258Å,422Å,504Å,516Å,4btq,P11126
46,Bacteria,ELECTRON MICROSCOPY,13,4.0,780,,"109,441.3 Å² × 60",202Å,285Å,288Å,404Å,570Å,576Å,5muu,P11126
47,Bacteria,ELECTRON MICROSCOPY,13,8.7,780,-780 e- per virion,"46,359.4 Å² × 60",213Å,253Å,257Å,426Å,506Å,514Å,4bx4,Q9MC13
48,Bacteria,ELECTRON MICROSCOPY,2,4.8,120,+1200 e- per virion,"48,802.5 Å² × 60",91Å,225Å,226Å,182Å,450Å,452Å,5fj5,
49,Fungi,ELECTRON MICROSCOPY,1,3.2,60,-1320 e- per virion,"31,042.6 Å² × 60",165Å,220Å,223Å,330Å,440Å,446Å,6s2c,E1CI69
50,Fungi,ELECTRON MICROSCOPY,1,2.79,60,-1080 e- per virion,"30,665.6 Å² × 60",167Å,223Å,225Å,334Å,446Å,450Å,7d0k,7D0K
51,Fungi,ELECTRON MICROSCOPY,1,2.95,60,-1260 e- per virion,"31,153.1 Å² × 60",168Å,223Å,226Å,336Å,446Å,452Å,7d0l,7D0L
52,Human,ELECTRON MICROSCOPY,3,10.5,180,-360 e- per virion,"68,587.4 Å² × 60",100Å,200Å,206Å,200Å,400Å,412Å,3iyo,Q1AHV0
53,"Animal,Human",X-RAY DIFFRACTION,1,3.81,60,-240 e- per virion,"12,028.6 Å² × 60",58Å,138Å,138Å,116Å,276Å,276Å,2zzq,
54,Human,X-RAY DIFFRACTION,1,3.5,60,-120 e- per virion,"12,322.2 Å² × 60",60Å,135Å,138Å,120Å,270Å,276Å,3hag,
55,Human,X-RAY DIFFRACTION,1,3.56,60,-180 e- per virion,"12,037.6 Å² × 60",62Å,138Å,139Å,124Å,276Å,278Å,2ztn,Q1AHU7
56,Human,ELECTRON MICROSCOPY,1,3.4,60,-300 e- per virion,"12,827.9 Å² × 60",64Å,138Å,138Å,128Å,276Å,276Å,6lat,A0A4P6DD72
57,Human,ELECTRON MICROSCOPY,1,3.6,60,-240 e- per virion,"7,563.4 Å² × 60",64Å,114Å,117Å,128Å,228Å,234Å,6lb0,A0A4P6DD72
58,"Insect,Animal,Human",ELECTRON MICROSCOPY,3,6.0,180,,"88,658.0 Å² × 60",165Å,279Å,281Å,330Å,558Å,562Å,4b03,
59,"Insect,Animal,Human",ELECTRON MICROSCOPY,3,6.2,180,,,194Å,286Å,294Å,388Å,572Å,588Å,5uhy,A0A120IIH7
60,"Insect,Animal,Human",ELECTRON MICROSCOPY,3,22.0,180,,,197Å,246Å,249Å,394Å,492Å,498Å,3iya,P18356
61,Humans,ELECTRON MICROSCOPY,3,4.4,180,+180 e- per virion,"76,966.7 Å² × 60",156Å,267Å,271Å,312Å,534Å,542Å,7l30,A0A5K6VMX2
62,Humans,ELECTRON MICROSCOPY,3,2.5,180,-120 e- per virion,"51,002.0 Å² × 60",165Å,227Å,234Å,330Å,454Å,468Å,7kv8,A0A1X9PLJ6
63,Humans,ELECTRON MICROSCOPY,3,3.7,180,+600 e- per virion,"57,115.4 Å² × 60",164Å,231Å,237Å,328Å,462Å,474Å,7kvb,A0A023J5I3
64,Humans,ELECTRON MICROSCOPY,3,2.9,180,+1200 e- per virion,"57,344.9 Å² × 60",164Å,231Å,237Å,328Å,462Å,474Å,7kv9,A0A0A6ZKT6
65,"Insect,Animal,Human",ELECTRON MICROSCOPY,3,25.0,180,,"40,028.9 Å² × 60",204Å,263Å,270Å,408Å,526Å,540Å,2b6b,323503
66,Human,ELECTRON MICROSCOPY,3,35.0,180,-180 e- per virion,"37,716.6 Å² × 60",214Å,255Å,257Å,428Å,510Å,514Å,3j35,D0EPS0
67,Human,ELECTRON MICROSCOPY,3,10.3,180,-60 e- per virion,"34,743.2 Å² × 60",199Å,236Å,243Å,398Å,472Å,486Å,3j0b,Q9Q6P4
68,"Insect,Animal,Human",ELECTRON MICROSCOPY,3,6.0,180,,,164Å,293Å,298Å,328Å,586Å,596Å,4c2i,
69,Humans,ELECTRON MICROSCOPY,3,19.0,180,,,183Å,267Å,267Å,366Å,534Å,534Å,7dwt,7DWT
70,Humans,ELECTRON MICROSCOPY,3,19.0,180,,,207Å,280Å,283Å,414Å,560Å,566Å,7dwu,
71,Human,ELECTRON MICROSCOPY,3,4.2,180,-480 e- per virion,"75,063.2 Å² × 60",163Å,257Å,267Å,326Å,514Å,534Å,7bub,
72,Human,ELECTRON MICROSCOPY,3,4.5,180,-300 e- per virion,"76,338.4 Å² × 60",165Å,258Å,269Å,330Å,516Å,538Å,7bud,
73,Human,ELECTRON MICROSCOPY,3,7.8,180,,,202Å,265Å,277Å,404Å,530Å,554Å,7bue,7BUE
74,Human,ELECTRON MICROSCOPY,3,6.1,180,,,164Å,257Å,268Å,328Å,514Å,536Å,7buf,7BUF
75,Human,ELECTRON MICROSCOPY,3,6.5,180,,,163Å,257Å,269Å,326Å,514Å,538Å,4uif,E0WXJ3
76,Humans,ELECTRON MICROSCOPY,3,3.5,180,+480 e- per virion,"69,542.9 Å² × 60",166Å,254Å,261Å,332Å,508Å,522Å,7cth,7CTH
77,Human,ELECTRON MICROSCOPY,3,20.0,180,,,209Å,280Å,288Å,418Å,560Å,576Å,4uih,P14340
78,Human,ELECTRON MICROSCOPY,3,6.9,180,,"83,855.1 Å² × 60",162Å,257Å,270Å,324Å,514Å,540Å,5a1z,
79,Human,ELECTRON MICROSCOPY,3,6.0,180,-120 e- per virion,"88,070.9 Å² × 60",162Å,230Å,233Å,324Å,460Å,466Å,3j6s,
80,Human,ELECTRON MICROSCOPY,3,7.0,180,-120 e- per virion,"87,170.9 Å² × 60",162Å,228Å,232Å,324Å,456Å,464Å,3j6t,
81,Human,ELECTRON MICROSCOPY,3,9.0,180,-60 e- per virion,"73,583.3 Å² × 60",162Å,256Å,275Å,324Å,512Å,550Å,3j6u,
82,Human,ELECTRON MICROSCOPY,3,25.0,180,,,172Å,291Å,301Å,344Å,582Å,602Å,6idk,A9LID6
83,Human,ELECTRON MICROSCOPY,3,25.0,180,,,169Å,289Å,298Å,338Å,578Å,596Å,6idl,A9LID6
84,Human,ELECTRON MICROSCOPY,3,12.0,180,,,158Å,296Å,304Å,316Å,592Å,608Å,6idi,A9LID6
85,Humans,ELECTRON MICROSCOPY,3,7.8,180,+360 e- per virion,"82,832.9 Å² × 60",162Å,273Å,276Å,324Å,546Å,552Å,6zqw,C8XPB6
86,"Insect,Animal,Human",ELECTRON MICROSCOPY,3,9.1,180,-540 e- per virion,"86,274.4 Å² × 60",158Å,276Å,277Å,316Å,552Å,554Å,5u4w,A0A142I5B9_ZIKV
87,Humans,ELECTRON MICROSCOPY,3,9.0,180,,,160Å,268Å,270Å,320Å,536Å,540Å,6lnu,A0A024B7W1
88,Humans,ELECTRON MICROSCOPY,3,8.0,180,,,133Å,281Å,283Å,266Å,562Å,566Å,6lnt,A0A024B7W1
89,Humans,ELECTRON MICROSCOPY,3,3.1,180,+120 e- per virion,"50,326.3 Å² × 60",158Å,224Å,229Å,316Å,448Å,458Å,6zqu,O11875
90,Humans,ELECTRON MICROSCOPY,3,2.6,180,,"57,634.0 Å² × 60",165Å,236Å,241Å,330Å,472Å,482Å,6zqv,C8XPB6
91,Human,ELECTRON MICROSCOPY,3,4.0,180,-360 e- per virion,"62,036.2 Å² × 60",162Å,251Å,264Å,324Å,502Å,528Å,6mid,
92,"Insect,Animal,Human",ELECTRON MICROSCOPY,3,3.7,180,-420 e- per virion,"55,214.9 Å² × 60",161Å,230Å,237Å,322Å,460Å,474Å,5iz7,
93,"Insect,Animal,Human",ELECTRON MICROSCOPY,3,12.0,180,-720 e- per virion,"45,385.5 Å² × 60",204Å,266Å,271Å,408Å,532Å,542Å,5h32,5H32
94,"Insect,Animal,Human",ELECTRON MICROSCOPY,3,4.4,180,,"61,332.0 Å² × 60",162Å,255Å,260Å,324Å,510Å,520Å,5h30,A0A024B7W1_ZIKV
95,"Insect,Animal,Human",ELECTRON MICROSCOPY,3,4.0,180,,"81,935.7 Å² × 60",160Å,256Å,261Å,320Å,512Å,522Å,5h37,5H37
96,Human,ELECTRON MICROSCOPY,3,22.0,180,,,205Å,289Å,299Å,410Å,578Å,598Å,5y0a,5Y0A
97,Human,ELECTRON MICROSCOPY,3,3.8,180,-720 e- per virion,"79,433.1 Å² × 60",161Å,257Å,266Å,322Å,514Å,532Å,7bu8,
98,Human,ELECTRON MICROSCOPY,3,4.8,180,-480 e- per virion,"81,872.9 Å² × 60",162Å,259Å,268Å,324Å,518Å,536Å,7bua,
99,Humans,ELECTRON MICROSCOPY,3,4.0,180,-660 e- per virion,"61,304.3 Å² × 60",161Å,249Å,259Å,322Å,498Å,518Å,7kcr,7KCR
100,"Insect,Animal,Human",ELECTRON MICROSCOPY,3,26.0,180,,"89,898.6 Å² × 60",236Å,343Å,345Å,472Å,686Å,690Å,3j8d,
101,Human,ELECTRON MICROSCOPY,3,3.6,180,-360 e- per virion,"56,978.9 Å² × 60",163Å,230Å,235Å,326Å,460Å,470Å,3j27,
102,Human,ELECTRON MICROSCOPY,3,4.1,180,-300 e- per virion,"86,616.1 Å² × 60",161Å,285Å,289Å,322Å,570Å,578Å,7cbp,
103,Human,ELECTRON MICROSCOPY,3,4.5,180,,,166Å,230Å,235Å,332Å,460Å,470Å,4cct,G3F5K5
104,,CRYO-ELECTRON MICROSCOPY,3,24.0,180,+1440 e- per virion,"34,921.7 Å² × 60",217Å,252Å,257Å,434Å,504Å,514Å,1k4r,P07720
105,,CRYO-ELECTRON MICROSCOPY,3,9.5,180,,"57,345.3 Å² × 60",171Å,240Å,244Å,342Å,480Å,488Å,1p58,P12823
106,,CRYO-ELECTRON MICROSCOPY,3,9.5,180,-60 e- per virion,"32,969.0 Å² × 60",204Å,237Å,242Å,408Å,474Å,484Å,1thd,Q88653
107,Humans,ELECTRON MICROSCOPY,3,3.7,180,+480 e- per virion,"59,345.4 Å² × 60",172Å,239Å,245Å,344Å,478Å,490Å,7v3f,P14340
108,Humans,ELECTRON MICROSCOPY,3,3.3,180,,"74,184.5 Å² × 60",173Å,263Å,272Å,346Å,526Å,544Å,7v3g,P14340
109,Humans,ELECTRON MICROSCOPY,3,3.6,180,,"83,391.9 Å² × 60",172Å,267Å,274Å,344Å,534Å,548Å,7v3h,
110,Humans,ELECTRON MICROSCOPY,3,4.4,180,,,162Å,252Å,259Å,324Å,504Å,518Å,7v3i,P14340
111,,CRYO-ELECTRON MICROSCOPY,3,24.0,180,,"58,970.9 Å² × 60",175Å,297Å,302Å,350Å,594Å,604Å,2r6p,2R6P
112,,CRYO-ELECTRON MICROSCOPY,3,16.0,180,,"30,573.2 Å² × 60",198Å,257Å,262Å,396Å,514Å,524Å,1n6g,P14336
113,Human,ELECTRON MICROSCOPY,3,25.0,180,-180 e- per virion,"46,266.0 Å² × 60",201Å,250Å,252Å,402Å,500Å,504Å,3c6r,
114,Humans,ELECTRON MICROSCOPY,3,3.9,180,+660 e- per virion,"66,894.3 Å² × 60",165Å,237Å,242Å,330Å,474Å,484Å,7esd,H9BYJ9
115,Human,ELECTRON MICROSCOPY,3,4.1,180,+180 e- per virion,"65,357.1 Å² × 60",166Å,230Å,235Å,332Å,460Å,470Å,4cbf,A4GV96
116,Human,ELECTRON MICROSCOPY,3,21.0,180,+240 e- per virion,"97,338.8 Å² × 60",192Å,338Å,338Å,384Å,676Å,676Å,3j42,Q7TS98
117,"Insect,Animal,Human",ELECTRON MICROSCOPY,3,24.0,180,,"53,557.4 Å² × 60",192Å,265Å,266Å,384Å,530Å,532Å,2of6,
118,Human,ELECTRON MICROSCOPY,3,4.3,180,+1020 e- per virion,"60,571.2 Å² × 60",168Å,237Å,241Å,336Å,474Å,482Å,5wsn,
119,Human,ELECTRON MICROSCOPY,3,4.7,180,+780 e- per virion,"88,512.3 Å² × 60",161Å,289Å,296Å,322Å,578Å,592Å,5ywo,
120,Humans,ELECTRON MICROSCOPY,3,3.1,180,+1080 e- per virion,"57,971.2 Å² × 60",164Å,232Å,238Å,328Å,464Å,476Å,7kva,A0A0A6ZKT6
121,Human,ELECTRON MICROSCOPY,3,3.1,180,-120 e- per virion,"52,594.1 Å² × 60",161Å,230Å,234Å,322Å,460Å,468Å,6co8,
122,Human,ELECTRON MICROSCOPY,3,3.9,180,+1320 e- per virion,"64,985.3 Å² × 60",165Å,235Å,240Å,330Å,470Å,480Å,5o6a,
123,"Insect,Animal,Human",ELECTRON MICROSCOPY,3,3.8,180,-60 e- per virion,"57,167.3 Å² × 60",164Å,231Å,237Å,328Å,462Å,474Å,5ire,
124,Humans,ELECTRON MICROSCOPY,3,2.42,180,+240 e- per virion,"57,013.4 Å² × 60",165Å,232Å,238Å,330Å,464Å,476Å,7lcg,A0A0H3U5P6
125,Humans,ELECTRON MICROSCOPY,3,2.35,180,+300 e- per virion,"55,996.0 Å² × 60",166Å,232Å,239Å,332Å,464Å,478Å,7lch,Q5WPU4
126,Human,ELECTRON MICROSCOPY,3,12.5,180,,,199Å,276Å,277Å,398Å,552Å,554Å,3c6d,P14337
127,Human,ELECTRON MICROSCOPY,3,23.0,180,,,190Å,292Å,298Å,380Å,584Å,596Å,3ixy,3IXY
128,"Insect,Animal,Human",ELECTRON MICROSCOPY,3,15.0,180,,"86,383.6 Å² × 60",189Å,299Å,304Å,378Å,598Å,608Å,3ixx,Q9Q6P4
129,Human,ELECTRON MICROSCOPY,3,13.7,180,,"35,388.8 Å² × 60",222Å,269Å,274Å,444Å,538Å,548Å,3zko,Q66394
130,"Insect,Animal,Human",ELECTRON MICROSCOPY,3,12.5,180,,"45,464.2 Å² × 60",199Å,261Å,262Å,398Å,522Å,524Å,1tge,
131,,ELECTRON MICROSCOPY,3,25.0,180,,"48,169.3 Å² × 60",191Å,263Å,272Å,382Å,526Å,544Å,1na4,
132,Humans,ELECTRON MICROSCOPY,3,11.0,180,,,164Å,291Å,300Å,328Å,582Å,600Å,6jfi,6JFI
133,Human,ELECTRON MICROSCOPY,3,7.0,180,,,202Å,263Å,268Å,404Å,526Å,536Å,4cau,4CAU
134,Human,ELECTRON MICROSCOPY,3,7.0,180,,,202Å,238Å,243Å,404Å,476Å,486Å,3j05,Q689G3
135,Human,ELECTRON MICROSCOPY,3,3.3,180,+2040 e- per virion,"71,139.8 Å² × 60",170Å,245Å,246Å,340Å,490Å,492Å,7z51,P14336
136,Human,ELECTRON MICROSCOPY,3,13.7,180,+1200 e- per virion,"77,678.5 Å² × 60",198Å,303Å,307Å,396Å,606Å,614Å,3iyw,
137,"Insect,Animal,Human",ELECTRON MICROSCOPY,3,9.4,180,+480 e- per virion,"74,825.2 Å² × 60",162Å,289Å,292Å,324Å,578Å,584Å,5gzr,A0A024B7W1
138,Human,ELECTRON MICROSCOPY,16,3.1,960,,,451Å,617Å,648Å,902Å,1234Å,1296Å,5zap,
139,Humans,ELECTRON MICROSCOPY,16,4.53,960,,,467Å,633Å,647Å,934Å,1266Å,1294Å,7fj3,
140,Humans,ELECTRON MICROSCOPY,16,4.43,960,,,463Å,631Å,644Å,926Å,1262Å,1288Å,7fj1,
141,Human,ELECTRON MICROSCOPY,16,4.2,960,,,456Å,627Å,654Å,912Å,1254Å,1308Å,6cgr,
142,Humans,ELECTRON MICROSCOPY,16,5.3,960,,,465Å,631Å,643Å,930Å,1262Å,1286Å,6lgn,
143,Humans,ELECTRON MICROSCOPY,16,4.4,960,,,469Å,636Å,644Å,938Å,1272Å,1288Å,6lgl,
144,,,16,,960,,,478Å,647Å,674Å,956Å,1294Å,1348Å,7bw6,
145,,,16,,960,,,465Å,628Å,657Å,930Å,1256Å,1314Å,6q1f,
146,Humans,ELECTRON MICROSCOPY,16,4.1,960,,,453Å,618Å,642Å,906Å,1236Å,1284Å,7bsi,
147,Human,ELECTRON MICROSCOPY,16,5.5,960,,,465Å,630Å,660Å,930Å,1260Å,1320Å,6w19,
148,Animal,X-RAY DIFFRACTION,16,5.0,960,,,457Å,618Å,645Å,914Å,1236Å,1290Å,6nhj,
149,Human,ELECTRON MICROSCOPY,16,4.2,960,,,466Å,630Å,657Å,932Å,1260Å,1314Å,6b43,
150,Crabs,ELECTRON MICROSCOPY,pT3,3.3,60,-240 e- per virion,"18,987.9 Å² × 60",111Å,160Å,166Å,222Å,320Å,332Å,6iic,E5G7H9
151,Insect,X-RAY DIFFRACTION,pT3,4.0,60,-300 e- per virion,"14,122.0 Å² × 60",114Å,166Å,172Å,228Å,332Å,344Å,5cdc,
152,Insect,ELECTRON MICROSCOPY,pT3,3.8,60,-180 e- per virion,"14,897.4 Å² × 60",115Å,168Å,174Å,230Å,336Å,348Å,5lwi,5LWI
153,Insect,ELECTRON MICROSCOPY,pT3,3.2,60,-60 e- per virion,"17,843.0 Å² × 60",105Å,161Å,173Å,210Å,322Å,346Å,5lwg,
154,Insects,ELECTRON MICROSCOPY,pT3,4.2,60,-660 e- per virion,"13,968.2 Å² × 60",115Å,161Å,165Å,230Å,322Å,330Å,7be9,Q80AG2
155,Insects,ELECTRON MICROSCOPY,pT3,4.0,60,-360 e- per virion,"16,185.4 Å² × 60",108Å,158Å,163Å,216Å,316Å,326Å,7bg8,
156,Insects,ELECTRON MICROSCOPY,pT3,2.9,60,-300 e- per virion,"16,250.8 Å² × 60",107Å,157Å,170Å,214Å,314Å,340Å,7bc3,Q80AG2
157,Insects,ELECTRON MICROSCOPY,pT3,2.8,60,-420 e- per virion,"16,005.9 Å² × 60",106Å,159Å,167Å,212Å,318Å,334Å,7bgk,
158,,X-RAY DIFFRACTION,pT3,2.4,60,-720 e- per virion,"17,820.1 Å² × 60",108Å,160Å,167Å,216Å,320Å,334Å,1b35,
159,Insect,X-RAY DIFFRACTION,pT3,2.5,60,-300 e- per virion,"12,232.5 Å² × 60",114Å,164Å,168Å,228Å,328Å,336Å,3nap,
160,Insect,X-RAY DIFFRACTION,pT3,3.6,60,-360 e- per virion,"13,293.7 Å² × 60",116Å,161Å,169Å,232Å,322Å,338Å,5l7o,
161,Insect,X-RAY DIFFRACTION,pT3,3.4,60,+60 e- per virion,"13,450.2 Å² × 60",114Å,166Å,176Å,228Å,332Å,352Å,5mqc,
162,Birds,ELECTRON MICROSCOPY,4,3.7,240,-900 e- per virion,"27,291.1 Å² × 60",125Å,189Å,190Å,250Å,378Å,380Å,6ygh,P0C6J7
163,Birds,ELECTRON MICROSCOPY,4,3.0,240,-1080 e- per virion,"19,634.6 Å² × 60",127Å,186Å,186Å,254Å,372Å,372Å,6ygi,
164,Human,ELECTRON MICROSCOPY,3,4.0,180,-120 e- per virion,"12,633.4 Å² × 60",106Å,157Å,157Å,212Å,314Å,314Å,6bvn,
165,Human,ELECTRON MICROSCOPY,4,4.6,240,+120 e- per virion,"15,681.5 Å² × 60",128Å,177Å,177Å,256Å,354Å,354Å,6wfs,
166,Human,ELECTRON MICROSCOPY,4,4.0,240,-120 e- per virion,"17,502.7 Å² × 60",127Å,178Å,179Å,254Å,356Å,358Å,6bvf,
167,Animal,ELECTRON MICROSCOPY,4,4.52,240,-360 e- per virion,"14,801.2 Å² × 60",125Å,170Å,173Å,250Å,340Å,346Å,6edj,
168,Human,ELECTRON MICROSCOPY,4,3.5,240,+60 e- per virion,"14,896.3 Å² × 60",124Å,172Å,173Å,248Å,344Å,346Å,3j2v,
169,"Animal,Human",X-RAY DIFFRACTION,4,3.89,240,+60 e- per virion,"16,284.2 Å² × 60",127Å,178Å,178Å,254Å,356Å,356Å,5d7y,
170,"Animal,Human",X-RAY DIFFRACTION,4,4.2,240,,"18,826.1 Å² × 60",126Å,177Å,178Å,252Å,354Å,356Å,4g93,
171,Humans,ELECTRON MICROSCOPY,3,3.6,180,+60 e- per virion,"13,865.7 Å² × 60",110Å,159Å,160Å,220Å,318Å,320Å,7eoy,P69706
172,Humans,ELECTRON MICROSCOPY,4,3.86,240,+120 e- per virion,"17,383.1 Å² × 60",132Å,178Å,180Å,264Å,356Å,360Å,7ep6,
